username,userid,profile_location,created_at,text,retweet_count,source,coordinates
sarah s.,185478093,"Los Angeles, CA",2023-01-21 03:19:22,"@SoCaliGirlO2 @m_crouton @amazonsmile Angel Hanz for the Homeless is the other 

https://t.co/mqJ3Axlj7o",0,Twitter for Android,
Lindsay,1602708113773064197,"Santa Monica, CA",2023-01-21 03:13:48,"@POTUS Me too!!! California is thriving. We pay 30 % more for gas, have more drugs &amp; homeless on our street, no pun… https://t.co/VVwR1bmi2Y",5,Twitter for Android,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 03:12:06,"Every morning Bobby tries to get day labor work. If he finds a gig, he can get into a hotel for the night. If he do… https://t.co/MiBrmugIJf",13,Agorapulse app,
LA KINDNESS KOPS,800191922748858368,"Hollywood, CA ",2023-01-21 03:08:41,@NotTodayDexter @AndrewDLewis We did stop an attempted murder in Hollywood last week by performing “Drop It Like It… https://t.co/PstW4rJKht,0,Twitter for iPhone,
Big Game James,293641545,"Los Angeles, CA",2023-01-21 03:03:14,@adamconover Total BS from the Housing First BS artists.  Letting homeless die on the street while you and friends… https://t.co/lmQmThUSMy,0,Twitter for Android,
YoungHippyLife,1198384784315240448,"Los Angeles, CA",2023-01-21 02:59:55,a homeless and a pillow they took my car which lead me to do breaking and entering living in cube smart storage the… https://t.co/S2Bl06UxdL,0,Twitter Web App,
Author-Samuel Andrews,31556356,"Los Angeles, CA",2023-01-21 02:57:05,Karen Bass cut the red tape open old hospitals if you have to …Get  the homeless treated and inside!,0,Twitter for iPhone,
Coby,1235496356,"Los Angeles, CA",2023-01-21 02:46:50,Driving by SoFi on the 105 just rubbed me the wrong way seeing it all lit up and animations going on the roof.. And… https://t.co/T8nLLFRtx5,0,Twitter for iPhone,
Coby,1235496356,"Los Angeles, CA",2023-01-21 02:43:58,All 43 investors that funded the construction of SoFi should fund a rehab shelter for the homeless in LA..,0,Twitter for iPhone,
K.Jordan,1083247823875764224,"Los Angeles, CA",2023-01-21 02:31:30,"I do like Darnel and Emmet arc from where they started to where they ended up.

But Emmet momma gave Ronnie homeless ass some booty so idk",0,Twitter for iPhone,
Arasele,56459053,"Los Angeles, CA",2023-01-21 02:21:52,Lol the homeless encampment next to my gym made it… “Walk of Fame” #LA #LosAngeles #DTLA #Hollywood #WalkofFame… https://t.co/x1vNMR7iXB,1,Twitter for iPhone,
Belinda 🇺🇸🇲🇽,2750993509,"East Los Angeles, CA",2023-01-21 02:18:22,@veroariete326 @BornAKang Macy's isn't a homeless shelter.,0,Twitter Web App,
Belinda 🇺🇸🇲🇽,2750993509,"East Los Angeles, CA",2023-01-21 02:17:53,@mindonmillions1 @BornAKang Macy's isn't a homeless shelter.,0,Twitter Web App,
