username,userid,profile_location,created_at,text,retweet_count,source,coordinates
habberdabber,1360585016,"Richmond, VA",2023-01-21 17:44:09,not too many homeless people at the white house. maybe try the streets to make an impact... https://t.co/PLpPucKYKD,0,Twitter Web App,
NJ McG,448212956,Richmond VA,2023-01-21 17:23:42,@SenatorLankford Why are families Hungary and homeless? Has nothing to do with a woman’s vagina,0,Twitter for iPhone,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-21 14:56:59,@christianamusk @KITRO_FoodWaste @unreasonable Could an initial step toward combating food waste be creating a logi… https://t.co/opZJ3JDLST,0,Twitter for Android,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-21 14:43:45,@LAmag @MayorOfLA @POTUS Then she needs to use the Billions of dollars she has already received from the Federal go… https://t.co/c6ThEW3HEn,0,Twitter for Android,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-21 14:37:23,@MayorOfLA @POTUS California has been given billions to confront the homeless problem. Where has all the money gone… https://t.co/RCvvfxaVef,0,Twitter for Android,
jennifer walters (she/they),829181435730866178,"Richmond, Va, USA",2023-01-21 03:25:10,@Jim_Jordan Then why do cops keep killing so many Black folks? why do we have starving kids? Why do our kids get sh… https://t.co/1gSMhaZSqE,0,Twitter for iPhone,
Jennifer C. Martin,19188730,"Richmond, VA",2023-01-20 22:49:50,@J_K_Chesterton @LordRavenscraft i assure you homeless people would rather have more affordable housing and fewer s… https://t.co/UJQGLuAuyZ,0,Twitter Web App,
Jennifer C. Martin,19188730,"Richmond, VA",2023-01-20 21:26:10,@J_K_Chesterton @LordRavenscraft creating housing scarcity by increasing number of renters + number of homeless peo… https://t.co/RU7FRJpGgt,0,Twitter Web App,
john saintsfc Anstey,31137678,Staffordshire,2023-01-20 21:14:33,@SoTCityCouncil &amp; a city centre full of empty shops &amp; homeless folk 🙈👎 Take your blinkers off &amp; have a real look at… https://t.co/doGRbXCKdm,1,Twitter for iPhone,
AshNoCakes,117904895,"Richmond, VA",2023-01-20 21:09:05,The Hatchet Wielding Hitchhiker is a wild ride with soooo many layers to unpack but of the biggest takeaways is how… https://t.co/S65KIi0AJ3,0,Twitter for iPhone,
Staffordshire Live,984073458165469184,Staffordshire,2023-01-20 20:01:00,"The latest figures have been released for Staffordshire by Shelter

https://t.co/pqbvvrDQ9I",0,TweetDeck,
Ali Faruk,978736158359343105,"Richmond, VA",2023-01-20 14:31:08,@MzFtz While opposing affordable housing or services for homeless people,0,Twitter for Android,
Old Mechanic 🩸🇺🇸,1518948335847153664,"Richmond, VA",2023-01-20 14:19:24,"Gallery Owner Who Hosed Homeless Woman In San Francisco Arrested

He has money. The homeless don't. Who do you THIN… https://t.co/qA67RH0sPe",0,Twitter Web App,
Dave Curwen,337189544,Staffordshire,2023-01-20 12:58:11,"@kreppant I totally agree, even so, some of the homeless seem to have conditioned themselves to the way of life and… https://t.co/KtfoFnY3o2",0,Twitter for Android,
8News WRIC Richmond,23948496,"Richmond, Virginia",2023-01-20 12:52:00,Blacksburg man plans to feed homeless with $100k lottery winnings https://t.co/gLjJqms3SV,4,SocialFlow,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-20 12:24:33,@JoeBiden Meanwhile we are bleeding out American tax dollars to the time of billions to the Ukraine while our homel… https://t.co/lMHClPYDo2,0,Twitter for Android,
Twit or Tweet,1589122955480637440,"Richmond, VA",2023-01-20 12:14:14,@FoxNews We are bleeding taxpayer dollars while our homeless are freezing to death. Just sayin'.,0,Twitter for Android,
Fabian Liberty,1487582199188758538,"Richmond, Virginia",2023-01-20 08:54:55,@Timmay1Timmay @DylanBurns1776 You don't think some boys are kissing that are homeless and on drugs? 🤣🤣🤣🤣,0,Twitter for Android,
